authorDisplayName;textDisplay;clean_comment;sentiment;
@ipungsaefulloh3496;@@fadjarkusmanto719 gemes banget bang liat diskonan begitu, tapi apa daya diemin aja 😅;fadjarkusmanto gemes banget bang liat diskonan begitu tapi apa daya diemin aja;netral;
@bennytaruna8019;gak ada duit😢 modal gw nyangkut di GEMS;gak ada duit modal gw nyangkut di gems;netral;
@akhmadididi952;Bahas saham TOTL bang, laporan keuangan Q3 naik.....;bahas saham totl bang laporan keuangan q naik;netral;
@nurliysiringoringo8913;Harga ptba aku di 3700 bang  berarti hold Aja ya Bang  menurut Analisa Abang hari ini  thanks bang;harga ptba aku di bang berarti hold aja ya bang menurut analisa abang hari ini thanks bang;positif;
@pdkudamas;Hold tahan sampai bagi dividend. Biasa naik.;hold tahan sampai bagi dividend biasa naik;negatif;
@aldyawliya3616;thanks koh;thanks koh;netral;
@ROMIPRADANA;Bro willyam wen semangat terus memberikan pemahaman tentang investasi, Semoga semakin sukses dan dilimpahin peruntungan sepanjang tahun dan semakin hoki;bro willyam wen semangat terus memberikan pemahaman tentang investasi semoga semakin sukses dan dilimpahin peruntungan sepanjang tahun dan semakin hoki;positif;
@elsyafahrizarisky5072;thank you koh wil 🎉;thank koh wil;netral;
@Ngobrolemiten;selamat pagi Jhon , tlg kasi kita konten semangat buat kita deviden investing yang masih hold saham batubara sampai saat ini jhOn untuk terus yakin Hold 😁;selamat pagi jhon tlg kasi kita konten semangat buat kita deviden investing yang masih hold saham batubara sampai saat ini jhon untuk terus yakin hold;positif;
@Syariah-zc5nj;suka banget dengar penjelasan nya om;suka banget dengar penjelasan nya om;netral;
@chonganchang4907;Lumayan. Kamsia bro Wen 👍;lumayan kamsia bro wen;positif;
@user-zw4rf9hb2f;anjay harga saham langsung turun drastis;anjay harga saham langsung turun drastis;negatif;
@suhendra2606;Udah ada muatan 24 lot Avrg masih di 2774😢;udah ada muatan lot avrg masih di;netral;
@Sigalinggingheri;BMRI Sdh keluar Q3 bro Will . . . Mantap👍 . . . 558;bmri sdh keluar q bro mantap;negatif;
@kia-tc8us;Tolong Bahas wiim Naik karna di goreng atau karna fundamental koh wil.<br>Laporan Q3 wiim sudah keluar;tolong bahas wiim naik karna di goreng atau karna fundamental koh wilbrlaporan q wiim sudah keluar;negatif;
@drayla7013;Sdh mulai nyicil PTBA. Diharga 2000 all in 😅;sdh mulai nyicil ptba diharga;netral;
@TuraDoke-fb1ho;Bahas POWR bro lapkeu udh keluar laba naik 🤟;bahas powr bro lapkeu udh keluar laba naik;negatif;
@almas4764;BSDE bang;bsde bang;netral;
@eddyhariyanto4246;Q3 HEXA SUDAH KELUAR TOLONG DI BAHAS KAK;q hexa sudah keluar tolong di bahas kak;negatif;
@black-hole78;bang bahas sektor saham yang ada pengaruhnya ketika pemilu dong bang;bang bahas sektor saham yang ada pengaruhnya ketika pemilu dong bang;netral;
@tedysuryanto579;Ko Will tolong bahas kalau mau invest di coal bagus dimana Ptba, Itmg, Bssr, Indy tks ko;ko tolong bahas kalau mau invest di coal bagus dimana ptba itmg bssr indy tks ko;positif;
@trukmobilvideobis;bang GJTL gimana nih sudah cuan, enaknya di jual apa di hold,, tolong di buatkan contenya , ane sudah subscribe..<br>thankss...;bang gjtl gimana nih sudah cuan enaknya di jual apa di hold tolong di buatkan contenya ane sudah subscribebrthankss;netral;
@degaes;Disaat orng2 takut sma goto, disitu saya All In;disaat orng takut sma goto disitu saya;negatif;
@Kk-nl6mx;kamu keren;kamu keren;positif;
@degaes;@@Kk-nl6mx See..??;kknlmx see;netral;
@terizanorymada8738;Baru nyerok 2610.. eh turun lagi.. 😅 wait and see.. 2200 nyerok lagi...;baru nyerok eh turun lagi wait see nyerok lagi;netral;
@riekanich;Bahas Q3 ANTM Donkk;bahas q antm donkk;netral;
@puputyustanto6218;Lagi ambruk 2480 PTBA, gass serok;lagi ambruk ptba gass serok;netral;
@iwayanardiana8975;Jhon gue ngg ada duet jhooonn mau serok 🤣🤣;jhon gue ngg ada duet jhooonn mau serok;netral;
@ekosumargono2962;bahas GGRM donk koh wens....ada anomali...net income naik bagus..harga dibanting;bahas ggrm donk koh wensada anomalinet income naik bagusharga dibanting;netral;
@Garry-Stewart;Beli PTBA di 2600 sekarang lagi loss tapi pengen lebih turun lagi biar bisa nambah;beli ptba di sekarang lagi loss tapi pengen lebih turun lagi biar bisa nambah;netral;
@riskisahputra4432;Hr ini kita Avg di2500an bro will;hr ini kita avg dian bro;netral;
@itz_heyletsgo421;PTBA 2470 saat ini 😭😭;ptba saat ini;netral;
@adib_logika;Ngantri di 2500 udh match wkwk;ngantri di udh match wkwk;netral;
@annassinagabfc4729;KKGI bang;kkgi bang;netral;
@tommyajahputra;Kkgi Pssi turun q3;kkgi pssi turun q;netral;
@TopGlobalLegends;John bahas PSSI john..pada panik Q3 anjlok wkwkwkw;john bahas pssi johnpada panik q anjlok wkwkwkw;negatif;
@soeboer_makmoer_farm;Eps Q3 cuma 87 gimna ini jhin ?;eps q cuma gimna ini jhin;netral;
@dadanroyoni7914;Mantap bang wil👍👍<br>Semoga saja casj tersedia buat nyerok PTBA;mantap bang wilbrsemoga saja casj tersedia buat nyerok ptba;positif;
@amrizalkidsboy;tengss koh wil;tengss koh wil;netral;
@utamikaryanti2274;Nunggu Q3 bssr, harga nya masih di jagain di 4000 an;nunggu q bssr harga nya masih di jagain di;netral;
@oliviasafitri4400;ntn video lain katany tiap akhir th saham harga batu bara bakal naik.. jadi yang bener mana nih, akhir th naik apa turun kecenderungannya??;ntn video lain katany tiap akhir th saham harga batu bara bakal naik jadi yang bener mana nih akhir th naik apa turun kecenderungannya;netral;
@lamhotsupanto9667;Baru nambah muagan di BRI<br>saham ADRO dan PTBA awal taun aja beli nya .;baru nambah muagan di bribrsaham adro dan ptba awal taun aja beli nya;netral;
@ellysusia2800;Jika menabung sampai 1 miliar, kemudian dividen 16 % yang artinya 160 juta pertahun, sudah lebih dari cukup jon buat hidup. Semangat jon, gaji UMR, nabung PTBA.;jika menabung sampai miliar kemudian dividen yang artinya juta pertahun sudah lebih dari cukup jon buat hidup semangat jon gaji umr nabung ptba;positif;
@sujikenyekkenyek5456;Bhas kkgi jhon,Q3 seupil;bhas kkgi jhonq seupil;netral;
@oldchef2839;Thanks a lot John insightnya;thanks lot john insightnya;netral;
@nunung456;Selalu ada ketenangan dan optimis ketika menyimak podcast ko williem, terimakasih ko williem, semoga selalu sehat wal afiat diberikan rizki yg luas dan keluarga yg bahagia sejahtera. <br>Aamiin yaa Robbal alaamiin 🤲;selalu ada ketenangan dan optimis ketika menyimak podcast ko williem terimakasih ko williem semoga selalu sehat wal afiat diberikan rizki yg luas dan keluarga yg bahagia sejahtera braamiin yaa robbal alaamiin;positif;
@alifiblodot4537;Bahan ITMG dong bang.......saham kesayangan;bahan itmg dong bangsaham kesayangan;positif;
@sandraoktaviana9828;Belum keluar Q3 nya, saya juga lg nunggu;belum keluar q nya saya juga lg nunggu;negatif;
@RiskyTrapYT;Mau tanya koh will, knp hrg batubara anjlok pas desember? Bukannya disebagian negara justru musim dingin permintaan lbh banyak ya? Kira” mendekati pemilu, dividen makin kecil atau justru malah besar ya?;mau tanya koh knp hrg batubara anjlok pas desember bukannya disebagian negara justru musim dingin permintaan lbh banyak ya kira mendekati pemilu dividen makin kecil atau justru malah besar ya;negatif;
@ibnubajaw1853;Logikanya pas saat musim dingin tuh perusahaan uda pd stok bln2 sblmnya. Jd hbs desember malah banyak perusahaan dah ga nyetok atau butuhnya sedikit;logikanya pas saat musim dingin tuh perusahaan uda pd stok bln sblmnya jd hbs desember malah banyak perusahaan dah ga nyetok atau butuhnya sedikit;negatif;
@RiskyTrapYT;@@ibnubajaw1853 ohh begitu, betul jg.;ibnubajaw ohh begitu betul jg;netral;
@bangcacing6032;TINS bg;tins bg;netral;
@buzzlightyear2150;Rencnaa mau hold 4thn gmn bang;rencnaa mau hold thn gmn bang;netral;
@sularsobachtiar5318;Mas willy minta tolong bahas bjtm ya mas... Makasih;mas willy minta tolong bahas bjtm ya mas makasih;netral;
@itz_heyletsgo421;Jakarta, CNBC Indonesia - Presiden Joko Widodo (Jokowi) memerintahkan agar pada tahun ini setidaknya ada satu Pembangkit Listrik Tenaga Uap (PLTU) batu bara yang bisa dipastikan untuk dilakukan pensiun dini.;jakarta cnbc indonesia presiden joko widodo jokowi memerintahkan agar pada tahun ini setidaknya ada satu pembangkit listrik tenaga uap pltu batu bara yang bisa dipastikan untuk dilakukan pensiun dini;negatif;
@anchannel2641;Bang bahas Adam Levine yg mau bundir gara2 loss banyak di saham;bang bahas adam levine yg mau bundir gara loss banyak di saham;positif;
@irfanbeema3725;Semoga turun ke 1500 aaagua mau serok nih saham;semoga turun ke aaagua mau serok nih saham;netral;
@tohaputra1382;Nunggu turun dulu..msh siap cash;nunggu turun dulumsh siap cash;positif;
@dddboxing6410;Bang Will.. UNTR donk;bang untr donk;netral;
@yusufabadi5817;Bahas saham kesayangan gw bang ADRO;bahas saham kesayangan gw bang adro;positif;
@user-ro3zl1kg6r;Bg bahas apa itu Rata² tertimbang. Soalnya untuk mencari Eps dan Dps tidak menggunakan Lembar saham melainkan Rata² tertimbang. Mohon dijelaskan bg?;bg bahas apa itu rata tertimbang soalnya untuk mencari eps dan dps tidak menggunakan lembar saham melainkan rata tertimbang mohon dijelaskan bg;netral;
@permanahyiamaan916;SIDO mau bagi dev interm ko malah turun 10% y 😅;sido mau bagi dev interm ko malah turun;netral;
@fitriadiansyah6205;Q3nya turun. Makanya roboh;qnya turun makanya roboh;negatif;
@suaraaku;Bang minta tolong bahas HILL;bang minta tolong bahas hill;netral;
@pedrieklewi6361;Request kkgi jhon...;request kkgi jhon;netral;
@lutfifitriah8815;Hari ini baru masuk 1 lot ptba di 2600 mudah2an masih trn buat cicil😊;hari ini baru masuk lot ptba di mudahan masih trn buat cicil;netral;
@hendrylee2581;semoga turun gocap baru cicil;semoga turun gocap baru cicil;netral;
@lutfifitriah8815;@@hendrylee2581 klo gocap bangkrut dong😌;hendrylee klo gocap bangkrut dong;negatif;
@rezasaefullah9681;​@@hendrylee2581apa coba;hendryleeapa coba;netral;
@cahyohandoyo3137;​@@lutfifitriah8815dikabulkan hari ini turun 2350, semoga besok turun jadi 2100;lutfifitriahdikabulkan hari ini turun semoga besok turun jadi;netral;
@nuryarifin8585;malesnya tuh gini&#39;;;" hahha mending Bssr , mCOL, gems, tau ITMG"",malesnya tuh gini klu ptba meskipun royal bagi deviden ko wilquot pembagian dy nya sethn sekali jd pasti bantingannya dlm bangt hahha mending bssr mcol gems tau itmg,netral"
@handaru9936;Masih hold avg 4200,kadang berontak juga sih,tp ya sudah lah;masih hold avg kadang berontak juga sihtp ya sudah lah;netral;
@itz_heyletsgo421;Avg down aja;avg aja;netral;
@Ngobrolemiten;Untuk AVD di harga 1740 x 200 lot brp agar bisa jadi rata rata di 2.500 nya ya Jhon Will ?;untuk avd di harga x lot brp agar bisa jadi rata rata di nya ya jhon;positif;
@VirtualVoyager0406;makasi bang...;makasi bang;netral;
@user-ih4rr8jb3f;Makasih bang ilmunya saya masih pemula dalam pasar modal.portovolio masih merah😊😊;makasih bang ilmunya saya masih pemula dalam pasar modalportovolio masih merah;netral;
@donbhosup27;sama om..merah gak pp jgn dinliatin.  Fokus aja nambah lot  sama saham yg di rasa yakin profit. Sisane mau merah .item ijo..terserah;sama ommerah gak pp jgn dinliatin fokus aja nambah lot sama saham yg di rasa yakin profit sisane mau merah item ijoterserah;positif;
@yahya8948;Bang, bahas HRUM donk, thanks,,;bang bahas hrum donk thanks;netral;
@adiputrapangestu5920;Kenapa sekitar bulan desember harga batu bara roboh??;kenapa sekitar bulan desember harga batu bara roboh;negatif;
@chickenforest3042;2840;;netral;
@asepigun;PTBA semoga jadi rejekiku;ptba semoga jadi rejekiku;netral;
@sucilestari470;Semoga dev minim 520;semoga dev minim;netral;
@jambujaya2131;Ini nih Q3 PTBA yg kita tunggu2.....;ini nih q ptba yg kita tunggu;netral;
@amabrian1632;Kalau ikuti chanel-nya koh Wil, selalu menenangkan. Mau floating los, floating profit tidak efek, selain perbanyak Lot demi cuan rupiah ngalir ke RDN.<br>Saham blue chip enaknya semakin roboh, semakin menggairahkan.<br>Serok habis tinggal tidur.😃😀;kalau ikuti chanelnya koh wil selalu menenangkan mau floating los floating profit tidak efek selain perbanyak lot demi cuan rupiah ngalir ke rdnbrsaham blue chip enaknya semakin roboh semakin menggairahkanbrserok habis tinggal tidur;negatif;
@ThePietzpanca;Portofolio ptba merah ga usah kuatir ya bang? Tetep serok lagi kah?;portofolio ptba merah ga usah kuatir ya bang tetep serok lagi kah;negatif;
@soundtubefree8075;Terimakasih Koh Will <br>PBSA bagi lagi Dividen Rp.40 <br>Yield 12% 😊;terimakasih koh brpbsa bagi lagi dividen rp bryield;netral;
@kelfincr31;Bang bahas kkgi bang;bang bahas kkgi bang;netral;
@kanalsenisederhana;Yg tdk pernah lelah menyuarakan pentingnya dividen di bursa saham. Semoga rejeki ko wil selalu lancar dan berkah ya.;yg tdk pernah lelah menyuarakan pentingnya dividen di bursa saham semoga rejeki ko wil selalu lancar dan berkah ya;negatif;
@fadilardiansyah1225;Kkgi anjlok bgt bang q3 nya;kkgi anjlok bgt bang q nya;negatif;
@hendrosuprayitno9614;bang tolong diinfo bagusan mana adro dan PT BA;bang tolong diinfo bagusan mana adro dan pt ba;netral;
@jambujaya2131;PTBA aja boss....;ptba aja boss;netral;
@rosalynmagdalena3791;Aku punya dua2nya...;aku punya duanya;positif;
@rezasaefullah9681;Masuk dua duanya😂;masuk dua duanya;positif;
@Firda2010;Sama aja, bedanya dividen ADRO 2x setahun, PTBA 1x setahun;sama aja bedanya dividen adro x setahun ptba x setahun;netral;
@ExGamer-f41z41;dividen PTBA selalu 100% jon;dividen ptba selalu jon;netral;
@harihandikasetiawan8586;Saham andalan ku;saham andalan ku;netral;
@ferripradana4265;Merah banget koh 😂😂😂😂, wkwkwk;merah banget koh wkwkwk;netral;
@mukmin44;Kalo sampai roboh ke 2000 ,kan artinya bwanyakk banget yang jualan..<br>Kira2 apa alasan mereka pada jualan?;kalo sampai roboh ke kan artinya bwanyakk banget yang jualanbrkira apa alasan mereka pada jualan;negatif;
@nanihonipa;Biasanya fomo atau takut sama fear2 yg di tebar;biasanya fomo atau takut sama fear yg di tebar;negatif;
@mutiaa.r9803;coal merah merona. serok nanggung nanggung gara2 fomo?;coal merah merona serok nanggung nanggung gara fomo;netral;
@satria2177;2.690  masih aman ga puh sepuh heheh;masih aman ga puh sepuh heheh;positif;
@SarahVirtyTami-uh2mw;Semoga terjun 2000;semoga terjun;netral;
@jordanmartino8719;Jon q3 adro jangan lupa;jon q adro jangan lupa;negatif;
@kiyahbrebes1666;Bener mase kalau nyangkut di emin aja hepiii debiden 🎉🎉🎉🎉;bener mase kalau nyangkut di emin aja hepiii debiden;netral;
@deesdiary2689;kak tlg bahas TINS, AKPI, SMDR n SSMS dong;kak tlg bahas tins akpi smdr n ssms dong;netral;
@trukmobilvideobis;Cocok, SMDR ane juga bertanya tanya, lagi nyerok dikit dikit SMDR, PBV nya kecil;cocok smdr ane juga bertanya tanya lagi nyerok dikit dikit smdr pbv nya kecil;netral;
@jambujaya2131;PTBA best of de best....;ptba best de best;netral;
@abeelinot;Kami avarsge 2800;kami avarsge;netral;
@mandalaputra9646;Tolong bahas maha bang;tolong bahas maha bang;netral;
@nawwafyusuf;Perusahan yg bagi dividen tetap bagi dividen, jdi tenang aja guys;perusahan yg bagi dividen tetap bagi dividen jdi tenang aja guys;positif;
@arissaeroji1923;Bahas Bssr Jon, Terimakasih;bahas bssr jon terimakasih;netral;
@ridwankurniadi28;Habis bagi dividen aja serok PTBA pasti roboh 1500-2000;habis bagi dividen aja serok ptba pasti roboh;negatif;
@fitriadiansyah6205;Gak saampe ..ex date kmrn aja 2.690. Enak serok sekarang. Nanti dapet deviden buat tambah muatan;gak saampe ex date kmrn aja enak serok sekarang nanti dapet deviden buat tambah muatan;positif;
@ridwankurniadi28;@@fitriadiansyah6205 tahun kemarin kan labanya tinggi, tahun ini ga gede tahun lalu jd hrga nya jg makin murah;fitriadiansyah tahun kemarin kan labanya tinggi tahun ini ga gede tahun lalu jd hrga nya jg makin murah;negatif;
@adimfauzul;"Bang will saya mau tanya , bang will kan biasanya kasih harga wajar eps kali 10-20 kalau harga makin turun dr level yg telah di tentukan apakah bang will akan cutloss? <a href=""http://www.youtube.com/results?search_query=%23pernahkah"">#pernahkah</a> bang will cut loss? disaat situasi dan valuasi bagaimana bang will cutloss tsb?, tolong buatkan video nya bang <a href=""http://www.youtube.com/results?search_query=%23makasih"">#makasih</a> banyak";bang saya mau tanya bang kan biasanya kasih harga wajar eps kali kalau harga makin turun dr level yg telah di tentukan apakah bang akan cutloss hrefhttpwwwyoutubecomresultssearchquerypernahkahpernahkaha bang cut loss disaat situasi dan valuasi bagaimana bang cutloss tsb tolong buatkan video nya bang hrefhttpwwwyoutubecomresultssearchquerymakasihmakasiha banyak;netral;
@ignasiusadinugroho6302;Kok CL yg ada serok lah kl harga diskon kaya gitu. <br>Apalagi PTBA dgn harga segini bisa ngasih 25-30%;kok cl yg ada serok lah kl harga diskon kaya gitu brapalagi ptba dgn harga segini bisa ngasih;positif;
@SarahVirtyTami-uh2mw;@@ignasiusadinugroho6302 karena bakalan ke 2300;ignasiusadinugroho karena bakalan ke;netral;
@sucilestari470;Saham ny turun yg penting kan perushaaan ttep jualan batubara ny.. 😅 devident ttep di kasih;saham ny turun yg penting kan perushaaan ttep jualan batubara ny devident ttep di kasih;positif;
@SarahVirtyTami-uh2mw;Turun lagi tu;turun lagi tu;netral;
@rahmatbudiarto3401;@@SarahVirtyTami-uh2mw Iya. Klo turun lagi, serok lagi mumpung baru gajian. Setting aj auto beli di harga terendah..😄;sarahvirtytamiuhmw iya klo turun lagi serok lagi mumpung baru gajian setting aj auto beli di harga terendah;netral;
@nrwardah5843;ge mana cara setting nya mas?;ge mana cara setting nya mas;negatif;
@Ferdiantt25;Gw yg nyangkut di 2860😢;gw yg nyangkut di;netral;
@ilfardonuta6217;3600 msih tenang 😂;msih tenang;positif;
@arenansyah2277;Sabar saya di 34** belum AVG down ..tnggi momentum dan dana 🤭;sabar saya di belum avg tnggi momentum dan dana;netral;
@BasBay;3400 nyimak 😎;nyimak;netral;
@khalidujungbatu4920;Bang bahas ADRO juga;bang bahas adro juga;netral;
@darmaputragusti9252;Lagi crash...;lagi crash;netral;
@arifyoga4518;16% gede  coy;gede coy;netral;
@widinurwicaksana7121;TLKM dong ko will;tlkm dong ko;netral;
@nabilahumairanazra;Laporan keuangan saham maha dong ko😊;laporan keuangan saham maha dong ko;netral;
@korneliussuhendra1511;Aku masih wait n see.... nunggu turun lagi;aku masih wait n see nunggu turun lagi;netral;
@b.p.6763;Sabar... Emiten batu bara masih akan turun lagi...;sabar emiten batu bara masih akan turun lagi;netral;
@maseohmase;Masih hold avg3500;masih hold avg;netral;
@andrianyahandri9477;Saya di 3300😢;saya di;netral;
@heroemuiman800;Hold... long term😊 dividen investing.;hold long term dividen investing;netral;
@Mankdolz;Average down bang;average bang;netral;
@ilfardonuta6217;3600 sebelumnya 3800 😂;sebelumnya;netral;
@zain14245;AVG 2800;avg;netral;
@riderpride9248;Turun? Ya serok. Kpan lgi john turun. Ntar kl uda naik ya udah diversifikasi lainnya;turun ya serok kpan lgi john turun ntar kl uda naik ya udah diversifikasi lainnya;netral;
@wahyuaari3440;Msh pantau ptba...;msh pantau ptba;netral;
@Mankdolz;Sama 😂;sama;netral;
@sucilestari470;Mantaapppp;mantaapppp;netral;
@juridislev581;keren;keren;positif;
@BasBay;Wkwkkw 😂😂;wkwkkw;netral;
@pirwansamsung907;Beli gorengan aja gurih;beli gorengan aja gurih;positif;
@edwinfajar7057;Ditunggu di 2000;ditunggu di;netral;
@yusupsupyan6331;Bahas adro ko;bahas adro ko;netral;
@masbayu9601;Kamis serok BBRI di 4920<br>Hari ini serok adro di 2550, ptba 2590<br><br>Semoga sebulan kedepan bisa turun lagi biar bisa nambahin muatan😁;kamis serok bbri di brhari ini serok adro di ptba brbrsemoga sebulan kedepan bisa turun lagi biar bisa nambahin muatan;netral;
@tjoevandie;Doamu dikabulkan hari ini 2360;doamu dikabulkan hari ini;netral;
@masbayu9601;@@tjoevandie tadi bisa nambahin muatan tapi ngga banyak, amunisi tipis😁;tjoevandie tadi bisa nambahin muatan tapi ngga banyak amunisi tipis;positif;
@tjoevandie;@@masbayu9601 aku juga masuk di harga 2400;masbayu aku juga masuk di harga;netral;
@Mankdolz;Wawwww 200 lot 😂;wawwww lot;netral;
@user-jh9sc7lw9d;belinya cicil kak jangan langsung all in hehe, mantep bener 200 lot;belinya cicil kak jangan langsung hehe mantep bener lot;netral;
@luluthardiyani9724;Iya kak, untung cicil blm all in. Nyesek pastix klu all in hehe… <br>Selain ptba kmrn jg dpt itmg &amp;;;
@user-jh9sc7lw9d;@@luluthardiyani9724 roboh dulu aja dong kak ehe biar saya bisa masuk, nunggu itmg 25 ribuan nih;luluthardiyani roboh dulu aja dong kak ehe biar saya bisa masuk nunggu itmg ribuan nih;negatif;
@donbhosup27;Saya masuk di  untr. Jga lansgung merah semua.wkwkwk;saya masuk di untr jga lansgung merah semuawkwkwk;netral;
@fungky711;Mntapp;mntapp;netral;
@grg4a765;Jhon kok cepet amat dapet update an lapkeu, caranya gimana jhon biar g ketingalan, kan g mungkin kita cek satu2 per emiten;jhon kok cepet amat dapet update lapkeu caranya gimana jhon biar g ketingalan kan g mungkin kita cek satu per emiten;netral;
@El-rb9yy;Akhirnya bahas ptba lagi. Gua ngantri di 2200-2300 🙏;akhirnya bahas ptba lagi gua ngantri di;negatif;
@heroemuiman800;Waduhh..;waduhh;netral;
@Mankdolz;Gokil.... 😂😂😂;gokil;positif;
@pelangi_hitam;berat kali;berat kali;negatif;
@hendrylee2581;turun gocap baru cicil;turun gocap baru cicil;netral;
@pelangi_hitam;@@hendrylee2581 waduhh;hendrylee waduhh;netral;
@Sigalinggingheri;Pening dng roboh nya . . . Apa terjun spt history BUMI😂;pening dng roboh nya apa terjun spt history bumi;negatif;
@pdkudamas;Beda lah dengan BUMI. Kalau BUMI pengendalinya aduh.;beda lah dengan bumi kalau bumi pengendalinya aduh;netral;
@Sigalinggingheri;@@pdkudamas Iya, dengan business plan nya PTBA akan growth, instead of Batubara👍☕️ akan jadi kenyataan🙏;pdkudamas iya dengan business plan nya ptba akan growth instead batubara akan jadi kenyataan;netral;
@pdkudamas;@@Sigalinggingheri iya. BUMI jg ga pernah bagi dividend, walaupun perusahaan laba. Jd cuma berharap capital gain.;sigalinggingheri iya bumi jg ga pernah bagi dividend walaupun perusahaan laba jd cuma berharap capital gain;netral;
@JHVR1810;Kalo BUMI pengendalinya Nia Ramadhani😂;kalo bumi pengendalinya nia ramadhani;netral;
@pdkudamas;@@JHVR1810 nah...;jhvr nah;netral;
@paulusharmoko6101;Good Job Will👍;good job;netral;
@ellysusia2800;Terimakasih jon, saham andalan saya jon;terimakasih jon saham andalan saya jon;netral;
@afdulgapur4725;Hadirrr;hadirrr;netral;
@fiqridihar437;Termikasih ganteng 🙏🏻;termikasih ganteng;netral;
@papahkiki8155;waduh ga ada cash lagi😅;waduh ga ada cash lagi;netral;
@edwinfajar7057;Siap siap ke 2000;siap siap ke;positif;
@nirzanurfitriano4515;Mantap ptba roboh bro 2.590...<br>Semoga besok masih turun....<br>Mumpung gajian bisa nambah muatan dikit....;mantap ptba roboh bro brsemoga besok masih turunbrmumpung gajian bisa nambah muatan dikit;negatif;
@heroemuiman800;Tungguin bang..😂😂;tungguin bang;netral;
@jambujaya2131;Serok yg buanyak bosss;serok yg buanyak bosss;netral;
@jatmikokurniawan1103;bahas tapg bang🙏;bahas tapg bang;netral;
@jembak06..;Nyimak;nyimak;netral;
@xcie69;jhon bahas emiten smkm sama lsip jhon😊;jhon bahas emiten smkm sama lsip jhon;netral;
@dosibonbon;Saya sudah pegang ptba lama..msih avg 4650;saya sudah pegang ptba lamamsih avg;netral;
@adiputrapangestu5920;​@@dosibonbonkalo ga banyak lot nya gpp 😢;dosibonbonkalo ga banyak lot nya gpp;positif;
@dahamadiun1371;AMAN bang Amanda;aman bang amanda;positif;
@ziletmuse5318;Bahas mmix donk.. Hehe;bahas mmix donk hehe;netral;
@farelsaputra1377;bang Sido bang;bang sido bang;netral;
@iradatimanamanda9087;Setujuu;setujuu;netral;
@muhammadarif5998;Pertama Jon, Waktunya Serok PTBA;pertama jon waktunya serok ptba;netral;
@rudiwahyudi9244;Mantul free yourk 🙏 pertamx 17.41;mantul free yourk pertamx;netral;
@soundtubefree8075;Mantul free yourk 😊;mantul free yourk;netral;
@Mankdolz;Hadir;hadir;netral;
