publishedAt;authorDisplayName;textDisplay;likeCount;
2023-08-06T09:26:21Z;@theinvestor;Seperti yg ada di video 😁👍🏻;0;
2023-08-02T06:18:26Z;@muhammadikhsan3519;Lgi diskon nichh;0;
2023-07-31T14:52:10Z;@itzjanie_ch;Maaf beliau sdh berapa tahun di saham;0;
2023-07-31T05:48:14Z;@hobibermaincarimainan2522;Klo gw sih gak takut beli saham ptba... semakin turun semakin gw serok... sebenernya produksi ptba ini semakin tahun semakin banyak hanya saja terkendala di harga batu bara yg terjun bebas makanya kinerjanya terlihat menurun... selagi  keuangan ptba menunjukan positip walaupun kecil tetap hold keras;1;
2023-11-01T03:28:50Z;@ThePietzpanca;Walopun sampe hari ini arb berkali2 tetep hold bang? Duhh ptbaku dah merah ini portofolio ku;0;
2023-07-28T05:56:46Z;@user-tb7in4lp3g;apakah ajaib aman bos?;0;
2023-07-20T12:21:21Z;@oky_dxchannel2321;Saatnya masuk PTBA kapan lagi dapet harga murah. 🤣;0;
2023-07-20T23:52:43Z;@theinvestor;👍🏻👍🏻;0;
2023-07-17T05:32:59Z;@melowwdy4318;thanks videonya bang, aku hold saham PTBA untuk jangka panjang, karena dividen yield nya meski naik turun tapi tetap lebih gede dari emiten lain.;1;
2023-07-11T13:32:51Z;@irwanekosusanto5656;DYOR;0;
2023-07-12T00:18:09Z;@theinvestor;👍🏻👍🏻;0;
2023-07-09T14:28:03Z;@alarisrajagukguk1427;Sangat setuju. Ini penjelasan yang betul;0;
2023-07-04T00:24:53Z;@MarlinaLina-xf4py;penghasilan berkurang karena harga batubara yg turun pak...tapi penjualan ptba masih naik. buat sy mah hold terus selama perusahaan msh membagikan deviden.;0;
2023-07-03T12:14:40Z;@arnoji2631;Aku ada pegang di harga 2040 nyimk;0;
2023-07-05T06:14:22Z;@theinvestor;Mantapppp 💪🏻💪🏻🔥🔥;0;
;;;;
2023-07-01T17:02:43Z;@djokowitojo6132;Prediksi Senin lusa masih ARB Ndak ya Boss?? Penasaran...;1;
2023-06-30T23:12:52Z;@rblk6978;Akhirnya PTBA ARB jilid 2<br>Analisisa sangat mantap mas. 🎉;0;
2023-07-01T15:02:12Z;@theinvestor;Dan masih banyak yg terjebak 😭😭;0;
2023-07-14T07:38:47Z;@umarbajri2780;​@@theinvestorjadi beli apa jangan min?;0;
2023-07-22T08:11:40Z;@adityariski1957;​@@theinvestorall in sekarang kah?;0;
2023-06-30T13:39:46Z;@faniadrian1254;Kan bisa AVG... Nt akhir th ya balik lg;0;
2023-06-30T13:14:02Z;@c7tv278;Ptba lg ada masalah keuangan th ini mana blm diaudit;0;
2023-06-28T15:34:11Z;@teknisi_magang;Gege banget;0;
2023-06-28T10:37:33Z;@varenaurigayurioshi4836;Sok pinter. Palingan juga ARB 2-3 kali lu ikut serok.<br><br>Langsung unsubs biar gak liat lagi video nya.;0;
2023-07-01T15:18:48Z;@theinvestor;Good;0;
2023-06-28T06:10:17Z;@hardworker4960;Untuk jangka panjang tetap akan serok ketika ARB PTBA;0;
2023-06-27T11:00:50Z;@wartisanti;Dulu masuk di 1800an masih hold sampe skrng, malah ga pernah pantau tiba2 dapet dividen 🤣 mantap lah ptba;8;
2023-07-01T15:23:02Z;@theinvestor;Kereeennn pak;0;
2023-07-15T03:11:13Z;@abudakir7650;Masuk thn brp kak;0;
2023-06-24T04:08:34Z;@efisuzana1747;Biarin aja mo turun arb itu udah biasa di saham hbs bagi dividen pasti turun sudah Biasa di saham..ntr bakal naik lagi.;0;
2023-06-23T18:06:09Z;@dewantoro5921;Bukan kinerja PTBA yg menurun bos tapi harga batubara yg turun tajam, selama perang Rusia Ukraina ini belum berakhir ketika musim dingin nanti masih ada potensi harga batubara kembali rebound, pertimbangkan harga batubara juga bos;2;
2023-06-23T13:50:19Z;@prayitkobelco2747;Saya punya harga 3800..sudah saya itung&quot;;
2023-06-23T10:50:53Z;@yoshuahutapea8095;Thank you bro. Soal kinerja, keknya imbas anjloknya harga produk sih. Coba dicek juga sales by volume apakah emang anjlok juga? Trus kita cari tau juga inovasi apa yg mrk bikin buat menumbuhkan revenue th ini dan th² mendatang.;0;
2023-06-23T09:53:39Z;@yuzakafanfaqih9205;WnS bagi para holder ptba👍;0;
2023-06-23T07:22:05Z;@alexsetyapranarka9191;Nanti broker MG menunjukkan kesaktiannya stlh cum dev.😅;0;
2023-06-27T06:00:01Z;@theinvestor;😄;0;
2023-07-05T06:04:13Z;@inoegraha9193;😂;0;
2023-06-23T06:53:02Z;@anchannel2641;selama PLN masih pake batubara, dan stok batu bara di Indonesia masih bisa buat 60 tahun lagi, jangan takut gaes, intinya beli lah mercy di harga bajaj;3;
2023-07-10T14:24:15Z;@titiyustiana2356;IYa, apalagi klo periode nya hanya 1-2 thn ke depan, PLN sepertinya akan masih banyak pake batubara. Proses konversi energi kan tidak bisa dalam waktu singkat 1-2. Klo asumsinya harga batubara turun, kita juga kan belum tahu  pasti keadaan di akhir tahun, terutama faktor musim di negara luar sana yg juga masih banyak butuh batubara. Jadi, selama kinerja PT BA masih bagus, sy juga akan tetap hold di tahun ini;0;
2023-06-23T04:36:08Z;@shantidewi4880;punya 52lot di 3600 mau jual sayang..ya sudahlah ambil deviden aja nanti buat avg down lagi😂;2;
2023-06-23T01:40:58Z;@adevincent9334;Biasanya kalo semua orang prediksi yg terjadi sebaliknya hahahaha;0;
2023-06-27T06:00:19Z;@theinvestor;😄👍🏻;0;
2023-06-23T01:20:29Z;@anjarsandiindripuspita2572;Hari ini cumdate klu beli hari ini masi dapat deviden gak ya;1;
2023-06-23T03:43:01Z;@mochamadfikridwifardian3516;Masih;0;
2023-06-22T23:27:12Z;@titiyustiana2356;Mas eros, diperkirakan laba bersih thn depan akan  turn sekitar 50%.fakto2 apa sj yg mjd Pertimbangan nya,, mas?;0;
2023-06-27T06:00:33Z;@theinvestor;Harga batubara yg turun;0;
2023-06-22T14:48:02Z;@deniagustian1401;Disaat org takut akan dibividen trap, saya siap serok di 2000an selama pln masih menggunakan batubara 🤝;7;
2023-06-30T09:51:18Z;@celvinnoval7407;Senin serok tuh bang;0;
2023-06-22T12:20:31Z;@yetisusilawati5511;kak besok masih bisa beli gak untuk dapet dividen ?;0;
2023-06-22T13:02:51Z;@helmankhsuyu4954;Masih;1;
2023-06-22T11:14:26Z;@zanfarem7895;JANGAN BELI, 😅😅😅 LU NYA MAU BELI KAN BESOK??;0;
2023-06-27T06:01:05Z;@theinvestor;Kagak 😂;0;
2023-06-22T10:42:34Z;@ahyach38;Beli emiten batubara saat ini udah telat.;0;
2023-06-22T07:59:46Z;@Kangazis78;Ptba akan kembali ke harga 3000 setelah bagi deviden😂;0;
2023-06-22T07:39:56Z;@defymega4022;Karena eks bos ptba jd tersangka korupsi,kerugian mncapai 100 M;0;
2023-06-22T04:33:18Z;@jambujaya2131;Mantap pencerahannya mas.... 👍;0;
2023-06-27T06:02:18Z;@theinvestor;🙏🏻;0;
2023-06-22T00:03:22Z;@bayusancoko3288;saya sudah spekulasi beli kemarin di harga 2800an sekarang sudah dijual untung 30% nan, nunggu ARB 2 kali dan harga kembali ke 2200 mulai ambil lagi;0;
2023-06-22T02:21:28Z;@theinvestor;👍🏻👍🏻;0;
2023-06-21T14:08:25Z;@IhsanSodri;Santai saja, Saya tetap cicil saham PTBA utk invest jangka panjang, rutin bagi deviden dan devidennya lebih besar dari bunga deposito bank manapun.;12;
2023-07-21T11:30:36Z;@rohman87mania85;Udah lama kah bang di PTBA?;0;
2023-08-01T04:55:55Z;@IhsanSodri;@@rohman87mania85 lumayang lama, hold aja 3 sd 4 thn dari deviden  juga sdh impas, sahamnya jadi  cuma2, gratisan.;0;
2023-08-15T15:30:28Z;@dhanidy1066;Iya saya juga gitu;0;
2023-06-21T12:31:40Z;@LANGTVCHANNEL;rata rata yg megang saham PTBA ada di Avg brp teman teman disini??<br><br>ada yg avg 3900 keatas??;1;
2023-06-21T22:20:09Z;@aloysiusdonybramantyo6279;Avg 4050 😅;0;
2023-06-22T01:22:38Z;@LANGTVCHANNEL;@@aloysiusdonybramantyo6279 waaah mantap bung.. siap kena dividen trap dan avg down???;0;
2023-06-22T07:24:37Z;@kaddhel182;Avg 3850;0;
2023-06-22T11:39:07Z;@LANGTVCHANNEL;@@kaddhel182 sama ky gw ini hahaha.. siapkan mental Gan dr sekarang..;0;
2023-06-24T04:05:51Z;@efisuzana1747;AVG 3400 70 lot;0;
2023-06-21T12:29:23Z;@LANGTVCHANNEL;pantes Dividennya gede..<br><br>100% laba bersih.. plus kiner keuangan menurun..<br><br>performa 2023 bakal menyedihkan nih.. kalau harga Coal gak ke 200 keatas;5;
2023-06-21T07:27:40Z;@nyomanlinggih2838;Saham agro nya bagaimana kedepan;0;
2023-06-21T02:05:41Z;@juanluke3441;Top Mas Erose makasih;0;
2023-06-22T02:23:42Z;@theinvestor;🙏🏻;0;
2023-06-21T01:29:53Z;@duvlesaimarchannel2172;Buat para pemula jangan terlalu percaya sama omongan konten kreator. Dari kemaren gw belum nemu konten kreator yg betul cara analisa nya , di PTBA ini gw masi hold dapat di harga pas tanggal 29 mei- 31 Mei, disaat banyak konten kreator yg lol dan nebar fear dan kebanyakan ngomong wait and see awokwok;5;
2023-06-22T02:23:58Z;@theinvestor;Good;0;
2023-06-21T01:19:09Z;@numberone-mp5ks;mungkin g up ke 4500 y.;0;
2023-06-22T02:24:20Z;@theinvestor;Nebak angka ini pak 😁;0;
2023-06-21T00:39:39Z;@alexsusanto2665;Tergantung harga batubara..;0;
2023-06-22T02:24:29Z;@theinvestor;👍🏻;0;
2023-06-20T23:49:01Z;@gesadjajadiningrat3584;Wah harusnya saya nonton ini sebelum beli PTBA, kemarin dah terlanjur beli PTBA di harga 3200 hehe mayan cuan gede 🎉;2;
2023-06-21T07:56:10Z;@bismadi5619;Tetep di hold ..👍;0;
2023-06-22T02:24:40Z;@theinvestor;Good;0;
2023-06-20T23:46:13Z;@sarintisiswita2655;Pemilu nanti naik tinggi buat dana kampanye;0;
2023-06-22T02:24:47Z;@theinvestor;Wowww;0;
2023-06-20T22:57:01Z;@jansengunawan8164;Bandar saham punya uang banyak, money melimpah ruah, duit besar bandar saham ini, untuk siapa😆😆😆😆😆😆😆😆😆;0;
2023-06-20T21:09:27Z;@jesikaanindita3675;Saya tunggu di 2400 sampai 2300 otw kesini abis exdate😅;1;
2023-06-21T16:16:36Z;@Renz007;Trus di hold ya bang<br>Batubara nya udah redup<br>Gmn tuh;0;
2023-06-22T02:25:38Z;@theinvestor;Wowww;0;
2023-06-20T20:48:10Z;@samunjajaraharja7153;masalahnya saya nyangkut di 4.025 ? bagaimana solusinya? dijual salah, bertahan salah;0;
2023-06-20T20:54:21Z;@ruslanabdulgani1365;Buat invest kan bisa, dividen jumbo siapa yg ga tergiur, hasil dividen belikan emiten lain atau avrg PTBA selama fundamentalnya baik;1;
2023-06-21T01:54:35Z;@gabrielsitanggang859;Uang dingin ? Hold, dpt dividen, average down pas di arb ke 2x;2;
2023-06-22T00:51:24Z;@dimassyahrul4367;Hold saja, Krn pasti dpt deviden. Meskipun harganya bs lbh turun lagi. Saat capai mendekati 3000,, uang devidennya bs djadikan modal AVG down PTBA;0;
2023-06-22T02:27:22Z;@theinvestor;Bisa tonton lagi videonya sampai selesai pak 😊👍🏻;0;
2023-08-15T15:38:01Z;@dhanidy1066;Sabar bang, karena sabar adalah kunci utama untuk investor 🎉🎉❤;0;
2023-06-20T20:06:16Z;@DEPA86;Hrum oh hrum😢;0;
2023-06-20T17:33:08Z;@adamsatryawan9374;Ngeri2 sedap dg emiten ini. Pendapatan menurun, laba menurun, tapi dividennya jumbo. Bgmn perusahaan mau berkembang labanya 100% jd dividen semua;1;
2023-06-21T12:38:21Z;@galvingibran5940;Laba yg dibagi itu tahun 2022;0;
2023-06-22T00:48:05Z;@dimassyahrul4367;Ini bukti bahwa BUMN bisa dijadikan sapi perah. Devidennya jg mengalirkan ke negara.;0;
2023-06-22T02:28:53Z;@theinvestor;Cash cow 👍🏻;0;
2023-06-20T17:15:43Z;@nurmanhappy5204;Gilak keuntuntungannya dibagikan semua. Gak bahaya to;0;
2023-06-22T02:29:15Z;@theinvestor;Memenuhi target dividen BUMN 😄;0;
2023-06-20T17:00:41Z;@verify8295;koq ngelarang? koq kayak nebar fear? apa perasaan gw doank?😂;0;
2023-06-20T21:11:40Z;@i__________i;Tebar fear yang masuk akal disebut sharing;0;
2023-06-21T01:28:03Z;@duvlesaimarchannel2172;Kocak bang, jangan dengar konten kreator kalo ada yg sharing, pada banyak yg salah;0;
2023-06-22T02:29:44Z;@theinvestor;Harus ditonton sampai selesai;0;
2023-06-20T16:57:06Z;@happyjoyp.w.siregar3249;Makasih reviewnya, kak. Dgn DY 27% PTBA pastilah sangat menarik utk investasi jk.panjang. Apalagi emiten2 BUMN kan &quot;;
2023-06-22T02:29:37Z;@theinvestor;Trueee;0;
2023-07-03T03:51:07Z;@fwbkurangajar;Selalu rutin bagikan dividen;0;
2023-11-13T15:50:23Z;@aragochannel5094;Oh gitu BUMN wajib bagi deviden;0;
2023-11-20T09:18:37Z;@semuapenuh;​@@aragochannel5094Sebab negara sebagai pemilik BUMN perlu pemasukan utk APBN. Pajak aja diuber apalagi dividend BUMN 😂;0;
2023-06-20T16:37:57Z;@diesertadelleon729;Cuma mau ngingetin aja mas jangan bikin konten ajakan beli atau jual saham;0;
2023-06-22T02:30:26Z;@theinvestor;Klo jangan membeli krna alasan.... 😁;0;
2023-06-20T15:46:34Z;@obrolanpinggirjalan6446;jika PTBA nett profit turun 50 -60 % di tahun 2023, ..kira kira harga wajar PTBA ditahun 2023 berapa pak berdasar EPSnya;3;
2023-06-20T17:08:03Z;@raymondwijaya9191;3000;0;
2023-06-20T15:38:08Z;@ardiseptiawan;Saham paling lama dipegang dah 5 tahunan..dah BEP.. Kalo diatas 3500 emang high risk;0;
2023-06-21T01:14:38Z;@aufakhairullah7874;apalagi kalo habis dapet deviden trus di re-invest lagi...makin banyak jumlah lot, makin banyak devidennya hehehe...;0;
2023-06-22T02:32:11Z;@theinvestor;Mantapppp, kerenn pakk;0;
2023-06-20T15:23:07Z;@fatonisamsudin151;nyicil om;0;
2023-06-22T02:32:21Z;@theinvestor;👍🏻👍🏻;0;
2023-06-20T15:12:24Z;@AAdit-rw2ev;Mas Erose. taun lalu tepat di bulan Juni 2022, sy baca di ebook 15 saham undervalue nya mas erose. Skrg tepat 1 taun sy cek kinerja saham nya rata2 masih di situ2 aja. ada beberapa yg naik seperti ICBP dan ITMG walau skrg ITMG sudah &quot;;
2023-06-20T16:50:13Z;@ryanarvin8131;Ada faktor lain yg ikt berperan jg yaitu market maker/bandar. Walaupun secara fundamental dinilai bagus, tp kalo ngga ada bandar yg angkat hrg saham tsb maka hrg ny akan stagnan atau malah turun. Jika uang yg digunakn adalah uang dingin/nganggur, silakn bersabar menunggu sang bandar beraksi 😁;0;
2023-06-22T02:33:31Z;@theinvestor;"Kondisi portfolio saya <a href=""https://youtu.be/15-wKZoY9OQ"">https://youtu.be/15-wKZoY9OQ</a>";0;
2023-06-20T15:09:33Z;@ridwankurniadi28;Piye kabare harum, emiten pelit kok diserok. kocak ente om 😂. PTBA dari jaman megawati gusdur udah bagiin dividen terus dan lumayan tuh diputarin lg di saham perbankan;5;
2023-06-21T01:17:11Z;@aufakhairullah7874;harum lagi butuh banyak dana buat ekspansi ke nikel, tahun 2025 diperkirakan segmen nikelnya udah nyalip segmen batubara;0;
2023-06-22T02:34:05Z;@theinvestor;😂;0;
2023-06-20T15:00:37Z;@dosenseniorindonesia;Wow...ini mantap sekali ya...laba di bagikan 100 % di bagikan deviden semua dan layout rasio 75 % ini besar sekali ....<br>Sukses selalu untuk PTBA semoga terus terbang ke bulan;10;
2023-06-20T14:59:29Z;@syamsulhuda4891;Strategi oportunis : Beli PTBA dapetin dividen.  Jual setelah ex Date asumsi capital loss 30%- 40% Terus  diinvestasikan kembali di saham calon bagger versi The investor misal BEST.  Semoga setahun sudah bagger sehingga  capital loss 30% - 40% PTBA tertutupi dan masih dapat profit lg dari selisih bagger vs capital loss tersebut 😁;5;
2023-06-20T18:40:03Z;@fatur9279;Bener sih masih kehitung murah padahal saham bagus udah mulai nyicil BEST sih sama MBMA juga sekarang mending koleksi saham yang calon multi bagger ketimbang koleksi saham yang udah terbang bagi yang modalnya investasinya terbatas;0;
2023-06-22T02:34:43Z;@theinvestor;Wowww;0;
2023-07-19T16:11:12Z;@ciejomblo5959;​@@fatur9279market cap mbma mahal bos;0;
2023-10-29T15:00:10Z;@user-ox2zw2gi4h;Itu kalo harga komo batubara tinggi terus <br><br>Itung aja manual pertahun nggag sama men yieldnya <br><br>Malah elu nyangkut harga di atas<br>Percuma dapet devidennya, kalo nyangkut <br><br>Kecuali yang beli di harga 2000 an kemaren;0;
2023-06-20T14:50:25Z;@joekartawidjaja6557;Disclaimernya bukan ajakan menjual/membeli saham dsb, tapi openingnya teriak “jangan beli saham ptba”. 🤷🏻‍♂️;21;
2023-06-20T23:59:13Z;@yudhaprabowo;Y ud bener ituh, wkwkwkwkwk;0;
2023-06-22T02:35:18Z;@theinvestor;Harus ditonton sampai selesai pak 😁👍🏻;0;
2023-06-22T06:42:17Z;@7bimbim;Lah kan bener bukan ajakan menjual/membeli;2;
2023-06-22T10:25:51Z;@joekartawidjaja6557;@@7bimbim disclaimer di dunia saham itu tidak mengarahkan orang untuk melakukan suatu aksi tertentu terhadap saham, termasuk larangan untuk membeli. Tujuan disclaimer adalah menolak beban tanggung jawab atas kerugian yang dialami orang lain akibat stateme;5;
2023-06-23T05:03:41Z;@AlbertW89;​@@joekartawidjaja6557betul banget. Kebanyakan bilang disclaimer on ,utk menghindari beban&quot;;
2023-06-20T14:47:02Z;@wagiyono1106;Mantap sekali mas Eros... semoga Cuan terus 😊;0;
2023-06-22T02:35:38Z;@theinvestor;Amiinnnn, sama2 pak 🤲🏻🙏🏻;0;
2023-06-20T14:42:58Z;@asgarwestjava3349;Saran aja mas mumpung lg bahas ptba.. bisa gak di kira2 ngebahas kalau misal ptba jatuh drop sampe ker harga berapa, butuh berapa lama kira2 kembali ke harga 4rban jg..apa harus menunggu sampe 1 tahun.. hehehe makasih mas..;3;
2023-06-20T23:00:43Z;@alexpenulis;Balik ke 4000 itu bisa bertahun tahun. Teman saya beli dulu di berapa ya 2800 apa 3800, baliknya lagi lama bener apalagi gak lama korona, jatuh sampai 1800. Nggak ada jaminan demand batubara akan setinggi kemarin lagi, karena ada perjanjian carbon foot print;0;
2023-06-21T00:49:19Z;@aufakhairullah7874;ex-date bakal dibawah 3000 sepertinya...;1;
2023-06-22T02:36:09Z;@theinvestor;Agak susah menebak harga pak 😁👍🏻;0;
2023-06-22T04:28:57Z;@jambujaya2131;@@alexpenulis kalo sampeyan hold dari 2018 sampe tahun ini devidennya sdh nutup harga sahamnya boss, malah lebih;2;
2023-06-23T05:09:30Z;@alexpenulis;@@theinvestor biasanya kalau di luar saham saham bank buku 4 dan yang seperti ASII, itu jatuhnya bisa kena di ARB lebih besar dari persentase dividen nya. Apalagi kalau bukan saham IDX 30 dan LQ 45, jatuhnya bisa arb berjilid jilid. Ya kita lihat saja, PT;0;
2023-06-20T14:42:51Z;@jamaluddin2927;Kkgi besok mau pengumuman deviden;0;
2023-06-20T14:36:15Z;@senikehidupantv;request Saham BKSL om,;1;
2023-06-20T14:34:09Z;@ronnysanjaya5939;Jangan beli ptba,beli harum krn devident nya gede bet d harum😅;0;
2023-06-22T02:36:18Z;@theinvestor;😂;0;
2023-06-20T13:54:45Z;@gemsshow;Auto ARB habis bagi deviden, capek pegang saham bgini pantau komputer mulu, jd investor aja;3;
2023-06-20T13:52:20Z;@boassalosa7104;Nyangkut 2 thn di Rp 4.300 150 lot masih santui santui aja itung itung punya kos kosan dari deviden......<br><br><br><br><br><br><br><br>Yassallam;5;
2023-06-20T14:15:37Z;@heroemuiman800;The real investor... mantull😊;0;
2023-06-20T16:42:37Z;@muhammadyasir8819;Nice bro..mau all in jg di ptba, devidennya hajar bssr..jadi tahun depan dapat double deviden..;0;
2023-06-20T16:59:56Z;@cisco639;Wuih kaka boci main saham juga;0;
2023-06-21T12:42:03Z;@galvingibran5940;Mantep.... jgn kaleng2;0;
2023-06-20T13:43:06Z;@febriannursetiadi9998;ITMG gimana om?;0;
2023-07-02T16:33:29Z;@idew5391;Sepi penumpang om... ke adro cb😂;0;
2023-06-20T13:37:31Z;@nunung456;Km nggak punya ptba yaa, kaciaaaaan deh...😂;2;
2023-06-22T02:36:53Z;@theinvestor;😭;0;
2023-06-20T13:37:23Z;@heroemuiman800;Mainset investor aja seperti chanelnya &#39;;
2023-06-20T13:36:22Z;@hudaal-athar9035;yah alhamdulillah adro.ptba.itmg bssr mcol mbap untr.<br>punya 1000 lot.<br>porto minus 50%😅😂<br>tapi ndk bakalan jual. hold keras.;2;
2023-06-20T13:51:40Z;@antoniusjemmy9728;Hold keras klo turun, beli terus ampe jadi PSP ya gan?;1;
2023-06-20T13:56:22Z;@hudaal-athar9035;@@antoniusjemmy9728 ngk pak. target nya cuma 1000 lot seluruh saham yg konsisten bagi dividen.🤣😂 udh 1000 yh bli yg lain.;1;
2023-06-20T14:17:13Z;@heroemuiman800;Mantapp.. the real investor😊;1;
2023-06-20T14:44:36Z;@nurmanelhidayah;@hudaal-athar9035  njir minus 50% bro? gua yg 35% aja mulai galau...salut.;0;
2023-06-21T00:02:14Z;@antoniusjemmy9728;@@hudaal-athar9035 Hati2 dgn saham siklus gan. Siklus kalo bagus ya enak tapi habis bagus menuju penurunan. Itulah kelemahan shm siklus.;0;
2023-06-20T13:33:00Z;@emeraldchanel6711;Jangan bikin konten ajakan jual atau beli...kena semprit undang2;4;
2023-06-22T02:37:40Z;@theinvestor;Klo jangan beli dengan alasan... 😁;0;
2023-06-20T13:31:52Z;@sya2405;Hrum yield dividen kecil mas, Cutloss aj, trus beli PTBA lebih gurihhh...😅😊;5;
2023-06-22T02:37:51Z;@theinvestor;😂;0;
2023-06-23T06:54:27Z;@anchannel2641;Itmg sekalian bang;0;
2023-06-20T13:28:38Z;@KekwRofl;Mending haka $hrum atau $goto😂;0;
2023-06-20T13:25:38Z;@enalarya7505;ayooo guyuuurr ndaaarrrr;2;
2023-06-20T13:06:41Z;@perumahan.kotapodomorotenjo;Bro ada pertanyaan nih, kalo masuk di harga 4000, abis itu kita avg down, nih kira kira, bulan september bisa keluar gak kita ? Minimal jangan rugi dah, impas aja;2;
2023-06-20T13:31:43Z;@heroemuiman800;Selama kinerja ok om.. klo gak hold jangka panjang ketutup sama deviden 2-3 kali , disclamer ya..;2;
2023-06-21T12:40:07Z;@galvingibran5940;Klo cuma impas ajak knp masuk??😅😅😅;0;
2023-06-21T14:35:36Z;@perumahan.kotapodomorotenjo;@@galvingibran5940 khan dapet dividen, maksudnya impas ya di porto merah sepersen atau 2, kalo september bisa keluar khan lumayan bisa masuk lagi BSSR, ntar desember masuk lagi ADRO 😂🤣🤣, kalo bisa kaya gitu, indah ya hidup;0;
2023-06-22T02:38:15Z;@theinvestor;Susah nebak harga pak 😁;0;
2023-06-22T03:11:15Z;@perumahan.kotapodomorotenjo;@@theinvestor iya susah, itu ptba eps turun gara gara harga batu bara turun atau produksinya turun juga atau dua duanya ?;0;
2023-06-20T13:05:11Z;@altairahad2315;STRONG SELL untuk emiten batu bara. Harga acuan BB sebetulnya masih tinggi &gt;;
2023-09-08T04:50:13Z;@widyantotomo939;Negara kita dapat apa kalo ndak mau bayar royalti secara layak . . . emang yg ditambang itu tanahnya siapa????;0;
2023-06-20T13:04:18Z;@amiludinsjatmiko9688;Sudah terlanjur beli boss;2;
2023-06-20T13:10:03Z;@fungky711;Cicil dikit pas hrga trun. Waktu exdate... Ane juga begtu;1;
2023-06-20T13:34:20Z;@heroemuiman800;Betul.. mainset investor 2-3 kali dividen 😊;0;
2023-06-22T02:38:41Z;@theinvestor;Harus ditonton videonya sampai selesai pak;0;
2023-06-20T12:55:35Z;@suwirwong;G sich  nungu after ex date;0;
2023-06-20T12:53:45Z;@annassinagabfc4729;Klo hold ny 5 tahun y boleh aja beli skarang;1;
2023-06-20T13:32:55Z;@heroemuiman800;5thn jadi 5 kali dividen mainset invertor bgt..;1;
2023-06-21T16:22:34Z;@Renz007;​@@heroemuiman800apakah nominal devidenya selalu sama ke depan nya;0;
2023-06-20T12:47:02Z;@icalfish;Pantau..;0;
2023-06-22T02:39:01Z;@theinvestor;👍🏻;0;
2023-06-20T12:37:33Z;@rudiwahyudi9244;Mantul free yourk..🙏;0;
2023-06-20T12:36:13Z;@user-xy3zo9jw7l;Ingat ya Guys, ARB skrg udah 15%.;2;
2023-06-22T02:39:14Z;@theinvestor;Trueee;0;
2023-06-20T12:32:30Z;@belumjadiorang3906;Klw masuk sekarang ya telat, jadi kang cuci piring jatohnya,,;3;
